time	normalized_intensity	sd	region
17	0.946324467358807	0.0752652266591941	Un-bleached
18	0.950936123285507	0.0751857311251105	Un-bleached
19	0.940821795724953	0.0706202928443062	Un-bleached
20	0.934273767432254	0.0723778772028613	Un-bleached
21	0.936199185295134	0.0786081056248335	Un-bleached
22	0.933142097601136	0.0797909522957122	Un-bleached
23	0.929020701915825	0.0798047043284985	Un-bleached
24	0.925692911806169	0.0815829782290909	Un-bleached
25	0.930053094197738	0.0827054671172135	Un-bleached
26	0.921202948723665	0.0827174292377159	Un-bleached
27	0.923597433494998	0.0865060937893289	Un-bleached
28	0.91413462638339	0.0881725783825694	Un-bleached
29	0.909923300017652	0.0889991960595089	Un-bleached
30	0.905148293531797	0.0987138465922197	Un-bleached
31	0.906528328331374	0.0951771850701399	Un-bleached
32	0.907004781654994	0.0981817750176212	Un-bleached
33	0.902039322079573	0.101142985000537	Un-bleached
34	0.904673903753203	0.0970867358561461	Un-bleached
35	0.904110028216156	0.0986687178970589	Un-bleached
36	0.899350650862156	0.100532050218044	Un-bleached
37	0.890353927528709	0.108204461804473	Un-bleached
38	0.892546032626188	0.102169106381647	Un-bleached
39	0.895579469620214	0.102775821412141	Un-bleached
40	0.892318564277344	0.105714930008696	Un-bleached
41	0.890989764372628	0.101347474834552	Un-bleached
42	0.887640385566203	0.1057917684724	Un-bleached
43	0.888884327854425	0.107788974887156	Un-bleached
44	0.887362400281523	0.103332144581704	Un-bleached
45	0.885615454866794	0.0970442371391333	Un-bleached
46	0.884360459991778	0.101733818272697	Un-bleached
47	0.879044574739901	0.104878937660059	Un-bleached
48	0.878075039475279	0.107630199921966	Un-bleached
49	0.873021046304163	0.106655660164314	Un-bleached
50	0.871713867819934	0.117507378237423	Un-bleached
51	0.872995308019375	0.1089411446688	Un-bleached
52	0.868426168409303	0.106189532418306	Un-bleached
53	0.868193782240426	0.107411117556473	Un-bleached
54	0.868620089820687	0.114603189871653	Un-bleached
55	0.865522733150782	0.109994732650578	Un-bleached
56	0.866358583624109	0.110929423967477	Un-bleached
57	0.867188781313478	0.110441655811617	Un-bleached
58	0.864596659883847	0.112813486231716	Un-bleached
59	0.864241708495941	0.107909665793932	Un-bleached
60	0.869720630876392	0.111764316240604	Un-bleached
61	0.864748249673542	0.109149453201724	Un-bleached
62	0.863645361907609	0.114473165168982	Un-bleached
63	0.86059700871412	0.115746813776536	Un-bleached
64	0.860151802619794	0.114967601913726	Un-bleached
65	0.856803428554615	0.119153216962105	Un-bleached
66	0.860122937447887	0.114176910031234	Un-bleached
67	0.859254282521134	0.116557705021989	Un-bleached
68	0.857848203743705	0.122310268116009	Un-bleached
69	0.856461381253115	0.12199818104478	Un-bleached
70	0.848562984770343	0.118863802815959	Un-bleached
71	0.850689171514441	0.123882452772136	Un-bleached
72	0.847439175709189	0.119446947614569	Un-bleached
73	0.849805908207591	0.125720070568497	Un-bleached
74	0.854293268472378	0.124804339713572	Un-bleached
75	0.84840236904323	0.126834855175045	Un-bleached
76	0.849656603541616	0.128040849112854	Un-bleached
77	0.857890470130353	0.129152674970527	Un-bleached
78	0.850488889636014	0.127615791771318	Un-bleached
79	0.85016884624221	0.121766754026987	Un-bleached
80	0.85431357633373906	0.125343318932464	Un-bleached
81	0.85217766007559	0.126046623842576	Un-bleached
82	0.853933125431139	0.123133157283278	Un-bleached
83	0.854007070659153	0.128435391256062	Un-bleached
84	0.85252076327971	0.131221467488394	Un-bleached
85	0.853740287046491	0.125272417694881	Un-bleached
86	0.852763956416332	0.123713881040911	Un-bleached
87	0.852637456018002	0.12288219045168	Un-bleached
88	0.857354064838789	0.123816652504	Un-bleached
89	0.854545557229817	0.120228785333315	Un-bleached
90	0.856251224825247	0.122045444618042	Un-bleached
91	0.857112452075015	0.121171316363451	Un-bleached
92	0.851205171911774	0.121846941769594	Un-bleached
93	0.857889942330238	0.119983719809347	Un-bleached
94	0.859816007415876	0.123778507868252	Un-bleached
95	0.860434001293051	0.124849452494	Un-bleached
96	0.867012180375275	0.119836987893222	Un-bleached
