ACC#	body
Q96Q89	
Q96R06	
Q96RL1	
Q96T23	
Q96T88	
Q99607	PML
Q99626	
Q99638	
Q99661	nucleolus
Q99666	
Q99708	
Q99728	
Q99741	
Q9BPX3	
Q9BTA9	
Q9BW19	
Q9BXR0	
Q9BYG3	nucleolus, P-bodies
Q9BZL4	
Q9C0C2	Stress granules
Q9C0C9	
Q9C0D5	
Q9GZM8	
Q9GZV5	
Q9H1A4	
Q9H1E3	nucleolus
Q9H211	
Q9H2G4	
Q9H3D4	
Q9H3P2	Speckles
Q9H410	nucleolus
Q9H425	
Q9H467	
Q9H4X1	nucleolus
Q9H6K1	
Q9H8V3	
Q9H8Y8	
Q9H910	
Q9H9S0	
Q9HCH0	
Q9NP87	
Q9NQR1	
Q9NRH3	
Q9NRI5	Stress granules
Q9NS91	
Q9NSV4	
Q9NTG7	
Q9NTI5	Stress granules
Q9NXR1	
Q9NYB0	
Q9NYF8	nuclear Speckles
Q9NYV6	nucleolus
Q9NZH5	
Q9NZI6	nucleolus
Q9NZJ0	
Q9NZT2	
Q9P270	Speckles
Q9P2B4	nucleolus, Stress granules
Q9UBF8	
Q9UEY8	
Q9UGL1	
Q9UGP4	
Q9UGP5	
Q9UHD8	PML bodies
Q9UI09	
Q9UIF9	
Q9UJ70	
Q9UJX2	
Q9UJX5	
Q9UK53	
Q9UKM9	
Q9UKX7	NPC
Q9UKY1	
Q9ULC4	
Q9ULW0	
Q9ULX3	nucleolus
Q9UM11	
Q9UNH5	
Q9UNZ2	
Q9UPN3	Stress granules
Q9UPP1	nucleolus
Q9UPU5	
Q9UQ35	nuclear Speckles
Q9UQ80	nucleolus, PML bodies
Q9UQR0	nucleolus
Q9Y253	
Q9Y2I6	
Q9Y2K7	nucleolus
Q9Y2V2	Stress granules
Q9Y2W1	
Q9Y3Z3	
Q9Y4H2	
Q9Y5N6	nucleolus
Q9Y5T5	
Q9Y676	
Q9Y6I3	
Q9Y6Q9	
O76064	53BP1 bodies
Q96NY9	nucleolus
Q8NFH5	NPC
P38432	Cajal bodies, nucleolus
Q5UIP0	53BP1 bodies
Q9BTX1	NPC
Q96HA1	NPC
Q8TEM1	NPC
Q9Y2U8	Stress granules
P07992	
O14974	
Q9BRP8	nucleolus
P54886	Stress granules
P57740	NPC
Q4VCS5	
Q9BVC5	
Q96EA4	
Q99459	Speckles, Stress granules
P49454	
Q8TAP8	
Q14839	nucleolus
Q9P2D1	nucleolus
Q96RK0	
Q9H9C1	
Q9UJU6	
Q9NPF5	
Q14195	Stress granules
Q9Y2J2	
Q9BY44	PML bodies
Q99504	
Q8NFC6	
P78347	
Q9BUJ2	Stress granules
Q12906	nucleolus, P-bodies
Q9UFC0	nucleolus
P29966	
Q8N3F8	
O94776	Mediator complex
Q9Y314	Stress granules
Q9Y266	Stress granules
Q7Z417	Stress granules, Speckles
P32322	Stress granules, PML bodies
Q86YP4	
Q86U86	
Q8IWS0	nucleolus
P14859	
Q92620	Speckles 
Q8WWY3	Speckles, Cajal bodies
Q9P2N5	Speckles
Q04323	
Q9H7L9	
Q05519	Speckles
Q13573	
Q8IYB3	nuclear Speckles
P35269	Cajal bodies
Q00059	
P18887	nucleolus
Q86VM9	Speckles
Q15942	
Q9NZM3	
Q8IWC1	
Q15004	
P51610	
P05114	Stress granules
P42568	
Q9H165	
Q6W2J9	
Q53HL2	nucleolus 
O60885	
O60583	Mediator complex
P21127	
Q03188	
Q96BT3	
Q96JM3	
O75175	P-body, PML bodies
Q8TEK3	
Q5HYJ3	Speckles, nucleolus
Q6PCT2	
Q9NQS7	
Q92833	
Q92794	nucleolus, PML body
O60341	
Q02241	Stress granules, P-bodies
Q9UMN6	
Q8N9T8	nucleolus
Q96PV6	
Q7KZI7	
Q9BQG0	nucleolus
Q96T58	nucleolus
Q8N5Y2	
Q68DK7	
P10244	
P08651	nucleolus
Q6KC79	nucleolus, Speckles
Q9H2Z4	
P46087	nucleolus
O96028	
P49790	NPC
Q9ULU4	
Q99640	nucleolus
P62140	nucleolus
Q969G5	
Q8NDT2	Speckles, P-bodies
Q6P4F7	nucleolus
Q5VT52	
Q92766	Speckles, nucleolus
Q9GZR1	
Q9H7N4	
Q5VYV7	
O60264	nucleolus, Mediator complex, P-bodies
O43463	
Q9UGU0	
Q8WUA4	
Q14186	
Q15643	
Q6ZSZ6	
Q9NPG3	PML bodies
Q6ZU65	
Q96JM2	
Q9H582	
Q9Y520	Stress granules
Q13409	nucleolus
Q641Q2	nucleolus
O15027	
Q15434	nucleolus
P07355	
P84243	
Q6ZSZ5	
Q13459	
O00151	Stress granules
O00567	nucleolus, P-bodies
O43524	
O75940	Speckles, Cajal bodies
P09493	
P18615	
P20810	
P45973	
P46821	Speckles
P53814	
Q07065	
Q14684	nucleolus
Q15075	
Q32MZ4	
Q3KQU3	
Q5SSJ5	
Q5VWN6	
Q68CZ2	
Q6P996	
Q7RTP6	
Q7Z3K3	
Q8NHU6	Stress granules, P-bodies
Q8WWH5	
Q8WYP5	NPC
Q92503	
Q96AT1	
Q96HC4	Stress granules
Q96PZ2	nucleolus
Q99618	
Q9BVJ6	nucleolus
Q9BXF6	
Q9BY89	
Q9H0H5	
Q9NPI6	P-body
Q9NRL2	
Q9NYZ3	
Q9P0M6	
Q9P0V3	
Q9Y2X3	nucleolus, P bodies
Q9Y6G9	
Q9Y6Y8	
Q92945	Stress granules
Q9ULH1	
Q9Y6R0	
O75151	nucleolus
O75367	
O75475	
O76021	nucleolus
Q14696	
Q16666	nucleolus
Q5SW79	
Q96A65	nucleolus
Q96B97	
Q99733	
Q9H4L7	
Q9P2E9	
Q9UK76	nucleolus
Q9Y6M7	
Q9NVD7	
P07437	nucleolus
Q12834	
Q14183	
P11532	
Q08379	
P23511	PML bodies
P15172	
Q13153	
Q12972	
