ACC#	body	xenopus	human
E7EVI1	Stress granules	Non Dynamic	Non Cdk target
E9PES6	Stress granules	Non Dynamic	Non Cdk target
E9PH38	Stress granules	Non Dynamic	Non Cdk target
E9PH82	Stress granules	Non Dynamic	Non Cdk target
E9PIZ4	Stress granules	Non Dynamic	Non Cdk target
E9PKG1	Stress granules	Non Dynamic	Non Cdk target
E9PNH7	Stress granules	Non Dynamic	Non Cdk target
F5GXS7	Stress granules	Non Dynamic	Non Cdk target
F5GY37	Stress granules	Non Dynamic	Non Cdk target
F5H282	Stress granules	Non Dynamic	Non Cdk target
F5H2F9	Stress granules	Non Dynamic	Non Cdk target
F5H7S3	Stress granules	Non Dynamic	Non Cdk target
F6TQG2	Stress granules	Non Dynamic	Non Cdk target
F8VRD2	Stress granules	Non Dynamic	Non Cdk target
F8W1T6	Stress granules	Non Dynamic	Non Cdk target
F8W6I7	Stress granules	Non Dynamic	Non Cdk target
F8W840	Stress granules	Non Dynamic	Non Cdk target
F8WA86	Stress granules	Non Dynamic	Non Cdk target
F8WEG8	Stress granules	Non Dynamic	Non Cdk target
G2XKQ0	PML bodies	Non Dynamic	Non Cdk target
G3V5D9	Stress granules	Non Dynamic	Non Cdk target
H0Y6N5	Stress granules	Non Dynamic	Non Cdk target
H0YAF8	Stress granules	Non Dynamic	Non Cdk target
H0YEH2	Stress granules	Non Dynamic	Non Cdk target
H0YH87	Stress granules	Non Dynamic	Non Cdk target
H0YHB7	Stress granules	Non Dynamic	Non Cdk target
H0YHV5	Stress granules	Non Dynamic	Non Cdk target
H3BMG3	Nucleoli	Non Dynamic	Non Cdk target
H3BR35	Stress granules	Non Dynamic	Non Cdk target
H3BRU6	Stress granules	Non Dynamic	Non Cdk target
H3BS89	Nucleoli	Non Dynamic	Non Cdk target
H7C3A1	Stress granules	Non Dynamic	Non Cdk target
I3L0H8	Stress granules	Non Dynamic	Non Cdk target
J3KP19	Stress granules	Non Dynamic	Non Cdk target
J3QLL0	Stress granules	Non Dynamic	Non Cdk target
J3QSV6	Stress granules	Non Dynamic	Non Cdk target
J3QT54	Stress granules	Non Dynamic	Non Cdk target
K7EK77	Stress granules	Non Dynamic	Non Cdk target
K7EMZ9	Stress granules	Non Dynamic	Non Cdk target
K7EPT6	Stress granules	Non Dynamic	Non Cdk target
M0R299	Stress granules	Non Dynamic	Non Cdk target
M0R3F6	Stress granules	Non Dynamic	Non Cdk target
O00124	Nucleoli	Non Dynamic	Non Cdk target
O00139	Nucleoli	Non Dynamic	Non Cdk target
O00148	Nucleoli	Non Dynamic	Non Cdk target
O00151	Stress granules	Dynamic	Cdk target
O00159	P-bodies	Non Dynamic	Non Cdk target
O00168	Nucleoli	Non Dynamic	Non Cdk target
O00221	Nucleoli	Non Dynamic	Non Cdk target
O00264	Nucleoli	Non Dynamic	Non Cdk target
O00303	Stress granules	Non Dynamic	Non Cdk target
O00399	Nucleoli	Dynamic	Cdk target
O00401	Nucleoli	Non Dynamic	Non Cdk target
O00422	Nucleoli	Non Dynamic	Non Cdk target
O00425	Stress granules,P-bodies	Dynamic	Non Cdk target
O00442	Nucleoli	Non Dynamic	Non Cdk target
O00469	Nucleoli	Non Dynamic	Non Cdk target
O00479	Nucleoli	Non Dynamic	Non Cdk target
O00488	Nucleoli	Non Dynamic	Non Cdk target
O00505	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
O00534	Nucleoli	Non Dynamic	Non Cdk target
O00541	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
O00566	Nucleoli	Non Dynamic	Non Cdk target
O00567	Nucleoli,P-bodies	Non Dynamic	Cdk target
O00571	Nucleoli,Stress granules	Dynamic	Cdk target
O00629	Nucleoli	Dynamic	Non Cdk target
O00712	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
O14511	Nucleoli	Non Dynamic	Non Cdk target
O14513	Nucleoli	Non Dynamic	Non Cdk target
O14523	Nucleoli	Non Dynamic	Non Cdk target
O14548	Nucleoli	Non Dynamic	Non Cdk target
O14558	Nucleoli	Non Dynamic	Non Cdk target
O14562	Nucleoli	Non Dynamic	Non Cdk target
O14578	Stress granules	Non Dynamic	Non Cdk target
O14607	Nucleoli	Non Dynamic	Non Cdk target
O14646	Nucleoli	Non Dynamic	Non Cdk target
O14669	Nucleoli	Non Dynamic	Non Cdk target
O14717	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
O14730	Nucleoli	Non Dynamic	Non Cdk target
O14744	Stress granules	Non Dynamic	Non Cdk target
O14745	Speckles	Dynamic	Cdk target
O14746	Stress granules,Cajal bodies	Non Dynamic	Non Cdk target
O14776	Nucleoli	Non Dynamic	Non Cdk target
O14787	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
O14818	Nucleoli	Non Dynamic	Non Cdk target
O14841	Nucleoli	Non Dynamic	Non Cdk target
O14893	Nucleoli	Non Dynamic	Non Cdk target
O14907	Nucleoli	Non Dynamic	Non Cdk target
O14924	Nucleoli	Non Dynamic	Non Cdk target
O14950	Nucleoli	Non Dynamic	Non Cdk target
O14979	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
O14980	Nucleoli,Cajal bodies	Non Dynamic	Cdk target
O15066	Nucleoli	Dynamic	Non Cdk target
O15143	Stress granules	Non Dynamic	Non Cdk target
O15145	Nucleoli	Non Dynamic	Non Cdk target
O15160	Nucleoli	Non Dynamic	Non Cdk target
O15169	Nucleoli	Non Dynamic	Non Cdk target
O15205	Nucleoli	Non Dynamic	Non Cdk target
O15213	Nucleoli	Non Dynamic	Non Cdk target
O15226	Speckles,P-bodies,Nucleoli	Non Dynamic	Non Cdk target
O15234	Stress granules	Non Dynamic	Non Cdk target
O15260	Speckles	Non Dynamic	Non Cdk target
O15264	Nucleoli	Non Dynamic	Non Cdk target
O15269	Speckles	Non Dynamic	Non Cdk target
O15287	Nucleoli	Non Dynamic	Cdk target
O15294	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O15347	Nucleoli	Non Dynamic	Non Cdk target
O15355	53BP1 bodies	Non Dynamic	Non Cdk target
O15372	Stress granules	Non Dynamic	Non Cdk target
O15381	Nucleoli	Non Dynamic	Non Cdk target
O15397	Stress granules	Non Dynamic	Non Cdk target
O15439	Nucleoli	Non Dynamic	Non Cdk target
O15446	Nucleoli	Non Dynamic	Cdk target
O15488	Nucleoli	Non Dynamic	Non Cdk target
O15504	NPC	Non Dynamic	Non Cdk target
O15523	Nucleoli	Non Dynamic	Non Cdk target
O15527	Stress granules	Non Dynamic	Non Cdk target
O15547	Nucleoli	Non Dynamic	Non Cdk target
O15550	Nucleoli	Non Dynamic	Non Cdk target
O43143	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
O43148	Nucleoli	Non Dynamic	Cdk target
O43159	Nucleoli	Non Dynamic	Non Cdk target
O43172	Nucleoli	Non Dynamic	Non Cdk target
O43252	Nucleoli	Non Dynamic	Non Cdk target
O43295	Speckles	Non Dynamic	Non Cdk target
O43298	Nucleoli	Non Dynamic	Non Cdk target
O43303	PML bodies	Non Dynamic	Cdk target
O43309	PML bodies	Non Dynamic	Non Cdk target
O43347	P-bodies	Non Dynamic	Non Cdk target
O43379	Stress granules	Non Dynamic	Non Cdk target
O43390	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
O43395	Nucleoli,Speckles,Cajal bodies	Dynamic	Cdk target
O43447	Nucleoli	Non Dynamic	Non Cdk target
O43463	Nucleoli	Non Dynamic	Cdk target
O43474	Speckles	Non Dynamic	Non Cdk target
O43513	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O43610	Nucleoli	Non Dynamic	Non Cdk target
O43657	Nucleoli	Non Dynamic	Non Cdk target
O43660	Nucleoli	Non Dynamic	Non Cdk target
O43670	Nucleoli	Non Dynamic	Non Cdk target
O43679	Nucleoli	Non Dynamic	Non Cdk target
O43681	Nucleoli	Non Dynamic	Non Cdk target
O43684	Nucleoli	Non Dynamic	Non Cdk target
O43709	Nucleoli	Non Dynamic	Non Cdk target
O43768	Nucleoli	Non Dynamic	Non Cdk target
O43781	Stress granules	Non Dynamic	Non Cdk target
O43809	Nucleoli	Non Dynamic	Non Cdk target
O43818	Nucleoli	Non Dynamic	Non Cdk target
O43823	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O43903	Nucleoli	Non Dynamic	Non Cdk target
O43929	Nucleoli	Non Dynamic	Non Cdk target
O60216	Stress granules	Non Dynamic	Non Cdk target
O60224	Nucleoli	Non Dynamic	Non Cdk target
O60225	Nucleoli	Non Dynamic	Non Cdk target
O60244	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O60248	Nucleoli	Non Dynamic	Non Cdk target
O60264	Nucleoli,Superenhancers-Mediator,P-bodies	Dynamic	Cdk target
O60269	PML bodies	Non Dynamic	Non Cdk target
O60285	Nucleoli	Non Dynamic	Cdk target
O60287	Nucleoli	Non Dynamic	Non Cdk target
O60293	Nucleoli	Non Dynamic	Non Cdk target
O60315	Nucleoli	Non Dynamic	Non Cdk target
O60336	Nucleoli	Non Dynamic	Non Cdk target
O60341	Superenhancers-Mediator	Dynamic	Cdk target
O60504	Stress granules	Non Dynamic	Cdk target
O60506	Stress granules,P-bodies,Nucleoli	Non Dynamic	Non Cdk target
O60508	Speckles	Non Dynamic	Non Cdk target
O60563	Speckles	Non Dynamic	Non Cdk target
O60583	Superenhancers-Mediator	Non Dynamic	Cdk target
O60678	Nucleoli	Non Dynamic	Non Cdk target
O60684	Stress granules	Non Dynamic	Non Cdk target
O60716	Stress granules,Superenhancers-Mediator	Dynamic	Non Cdk target
O60763	Nucleoli	Non Dynamic	Non Cdk target
O60765	Nucleoli	Non Dynamic	Non Cdk target
O60812	P-bodies	Non Dynamic	Non Cdk target
O60828	Stress granules,Speckles,Nucleoli	Non Dynamic	Non Cdk target
O60832	Stress granules,Nucleoli,Cajal bodies	Dynamic	Non Cdk target
O60869	Nucleoli	Non Dynamic	Non Cdk target
O60870	Nucleoli	Non Dynamic	Non Cdk target
O60879	Nucleoli	Non Dynamic	Non Cdk target
O60884	Nucleoli	Non Dynamic	Non Cdk target
O60907	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
O60911	Nucleoli	Non Dynamic	Non Cdk target
O60925	Nucleoli	Non Dynamic	Non Cdk target
O60934	53BP1 bodies	Non Dynamic	Cdk target
O75071	Nucleoli	Non Dynamic	Non Cdk target
O75081	Nucleoli	Non Dynamic	Non Cdk target
O75096	Nucleoli	Non Dynamic	Non Cdk target
O75113	Nucleoli	Non Dynamic	Non Cdk target
O75131	Nucleoli	Non Dynamic	Non Cdk target
O75145	Nucleoli	Non Dynamic	Non Cdk target
O75150	Nucleoli,PML bodies	Non Dynamic	Non Cdk target
O75151	Nucleoli	Non Dynamic	Cdk target
O75152	Speckles	Non Dynamic	Cdk target
O75164	Nucleoli	Non Dynamic	Non Cdk target
O75175	P-bodies,PML bodies	Non Dynamic	Cdk target
O75312	Cajal bodies	Non Dynamic	Non Cdk target
O75319	Nucleoli	Non Dynamic	Non Cdk target
O75340	Nucleoli	Non Dynamic	Non Cdk target
O75347	Nucleoli	Non Dynamic	Non Cdk target
O75348	Nucleoli	Non Dynamic	Non Cdk target
O75367	P-bodies	Non Dynamic	Cdk target
O75369	Stress granules	Non Dynamic	Non Cdk target
O75376	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O75381	Nucleoli	Non Dynamic	Non Cdk target
O75386	Nucleoli	Non Dynamic	Non Cdk target
O75398	Nucleoli	Non Dynamic	Non Cdk target
O75431	Nucleoli	Non Dynamic	Non Cdk target
O75448	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O75459	Nucleoli	Non Dynamic	Non Cdk target
O75494	Nucleoli	Non Dynamic	Non Cdk target
O75506	Stress granules	Non Dynamic	Non Cdk target
O75525	Stress granules	Non Dynamic	Non Cdk target
O75531	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
O75533	P-bodies,Speckles	Dynamic	Cdk target
O75534	Stress granules	Dynamic	Non Cdk target
O75586	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O75607	Nucleoli	Non Dynamic	Non Cdk target
O75626	Nucleoli	Non Dynamic	Non Cdk target
O75643	Nucleoli	Non Dynamic	Non Cdk target
O75663	Speckles	Non Dynamic	Non Cdk target
O75683	Nucleoli	Non Dynamic	Non Cdk target
O75688	Nucleoli	Non Dynamic	Non Cdk target
O75691	Nucleoli	Non Dynamic	Non Cdk target
O75694	NPC	Dynamic	Non Cdk target
O75817	Nucleoli	Non Dynamic	Non Cdk target
O75818	Nucleoli	Non Dynamic	Non Cdk target
O75821	Stress granules	Dynamic	Non Cdk target
O75907	Nucleoli	Dynamic	Non Cdk target
O75911	Nucleoli	Non Dynamic	Non Cdk target
O75934	Nucleoli	Non Dynamic	Non Cdk target
O75935	Speckles,Nucleoli	Non Dynamic	Non Cdk target
O75937	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
O75940	Speckles,Cajal bodies,Nucleoli	Dynamic	Cdk target
O75955	Speckles	Non Dynamic	Non Cdk target
O76003	Stress granules	Non Dynamic	Non Cdk target
O76021	Nucleoli	Non Dynamic	Cdk target
O76064	53BP1 bodies	Non Dynamic	Cdk target
O76075	Nucleoli	Non Dynamic	Non Cdk target
O77932	Nucleoli	Non Dynamic	Non Cdk target
O94760	Nucleoli	Non Dynamic	Non Cdk target
O94776	Superenhancers-Mediator	Dynamic	Cdk target
O94805	Nucleoli	Non Dynamic	Non Cdk target
O94832	P-bodies	Non Dynamic	Non Cdk target
O94842	Nucleoli	Non Dynamic	Non Cdk target
O94900	Nucleoli	Non Dynamic	Non Cdk target
O94901	Stress granules	Non Dynamic	Cdk target
O94964	Nucleoli	Non Dynamic	Non Cdk target
O94988	Nucleoli	Non Dynamic	Non Cdk target
O95059	Nucleoli	Non Dynamic	Non Cdk target
O95071	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O95076	Nucleoli	Non Dynamic	Non Cdk target
O95125	Nucleoli	Non Dynamic	Non Cdk target
O95149	Cajal bodies	Non Dynamic	Non Cdk target
O95155	Speckles	Dynamic	Non Cdk target
O95170	Nucleoli	Non Dynamic	Non Cdk target
O95231	Nucleoli	Non Dynamic	Non Cdk target
O95238	Nucleoli	Non Dynamic	Non Cdk target
O95271	Stress granules	Non Dynamic	Non Cdk target
O95295	Nucleoli	Non Dynamic	Cdk target
O95347	Nucleoli	Non Dynamic	Non Cdk target
O95373	Stress granules	Non Dynamic	Non Cdk target
O95402	Superenhancers-Mediator,Cajal bodies	Non Dynamic	Non Cdk target
O95453	Nucleoli	Dynamic	Non Cdk target
O95455	Nucleoli	Non Dynamic	Non Cdk target
O95478	Nucleoli	Non Dynamic	Non Cdk target
O95486	Nucleoli	Non Dynamic	Non Cdk target
O95573	Nucleoli	Non Dynamic	Non Cdk target
O95602	Nucleoli	Non Dynamic	Non Cdk target
O95672	Nucleoli	Non Dynamic	Non Cdk target
O95677	Superenhancers-Mediator	Non Dynamic	Non Cdk target
O95685	Nucleoli	Non Dynamic	Non Cdk target
O95707	Nucleoli	Non Dynamic	Non Cdk target
O95751	Nucleoli	Non Dynamic	Non Cdk target
O95758	Stress granules	Non Dynamic	Non Cdk target
O95786	Stress granules	Non Dynamic	Non Cdk target
O95817	Stress granules	Dynamic	Non Cdk target
O95819	Stress granules	Dynamic	Non Cdk target
O95848	Nucleoli	Non Dynamic	Non Cdk target
O95922	Nucleoli	Non Dynamic	Non Cdk target
O95983	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
O95997	Nucleoli	Non Dynamic	Non Cdk target
O96013	Stress granules	Non Dynamic	Non Cdk target
O96015	Nucleoli	Non Dynamic	Non Cdk target
P00338	Nucleoli	Non Dynamic	Cdk target
P01106	Nucleoli	Non Dynamic	Non Cdk target
P01876	P-bodies	Non Dynamic	Non Cdk target
P02545	Nucleoli,Stress granules	Dynamic	Cdk target
P02647	P-bodies	Non Dynamic	Non Cdk target
P02656	Nucleoli	Non Dynamic	Non Cdk target
P02768	P-bodies	Non Dynamic	Non Cdk target
P02787	P-bodies	Non Dynamic	Non Cdk target
P03950	Nucleoli	Non Dynamic	Non Cdk target
P04080	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P04083	Stress granules	Non Dynamic	Non Cdk target
P04183	Speckles	Non Dynamic	Cdk target
P04198	Nucleoli	Non Dynamic	Non Cdk target
P04637	PML bodies	Non Dynamic	Cdk target
P04792	Stress granules,P-bodies	Non Dynamic	Non Cdk target
P05089	P-bodies	Non Dynamic	Non Cdk target
P05109	P-bodies	Non Dynamic	Non Cdk target
P05114	Stress granules	Non Dynamic	Cdk target
P05141	P-bodies	Non Dynamic	Non Cdk target
P05198	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P05204	Nucleoli	Non Dynamic	Non Cdk target
P05305	Nucleoli	Non Dynamic	Non Cdk target
P05412	Nucleoli	Non Dynamic	Cdk target
P05455	Nucleoli	Non Dynamic	Non Cdk target
P05556	Stress granules	Non Dynamic	Non Cdk target
P05783	Nucleoli	Dynamic	Non Cdk target
P05787	Nucleoli	Dynamic	Cdk target
P06493	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P06576	Speckles	Non Dynamic	Non Cdk target
P06702	Stress granules,P-bodies	Non Dynamic	Non Cdk target
P06730	Stress granules	Non Dynamic	Non Cdk target
P06748	Nucleoli,PML bodies	Dynamic	Cdk target
P07196	PML bodies	Non Dynamic	Non Cdk target
P07199	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P07237	Stress granules	Non Dynamic	Non Cdk target
P07305	Stress granules	Non Dynamic	Non Cdk target
P07437	Nucleoli	Non Dynamic	Cdk target
P07737	Stress granules,Cajal bodies	Non Dynamic	Non Cdk target
P07738	Nucleoli	Non Dynamic	Non Cdk target
P07741	Speckles	Non Dynamic	Non Cdk target
P07858	Speckles,Nucleoli	Non Dynamic	Non Cdk target
P07900	Stress granules	Non Dynamic	Non Cdk target
P07910	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
P07947	Stress granules	Non Dynamic	Non Cdk target
P07951	Stress granules	Non Dynamic	Non Cdk target
P08048	Nucleoli	Non Dynamic	Non Cdk target
P08238	Nucleoli	Non Dynamic	Non Cdk target
P08567	Nucleoli	Non Dynamic	Non Cdk target
P08579	Speckles	Non Dynamic	Non Cdk target
P08590	Nucleoli	Non Dynamic	Non Cdk target
P08621	Nucleoli,Speckles	Non Dynamic	Cdk target
P08651	Nucleoli	Non Dynamic	Cdk target
P08670	PML bodies	Non Dynamic	Cdk target
P08708	Nucleoli	Non Dynamic	Non Cdk target
P08729	Nucleoli	Non Dynamic	Non Cdk target
P08754	Nucleoli	Non Dynamic	Non Cdk target
P08865	Nucleoli	Non Dynamic	Non Cdk target
P09012	Nucleoli	Non Dynamic	Non Cdk target
P09038	Cajal bodies	Non Dynamic	Non Cdk target
P09067	Nucleoli	Non Dynamic	Non Cdk target
P09234	Nucleoli	Dynamic	Non Cdk target
P09326	Nucleoli	Non Dynamic	Non Cdk target
P09651	Nucleoli	Non Dynamic	Non Cdk target
P09661	Nucleoli	Non Dynamic	Non Cdk target
P09758	Nucleoli	Non Dynamic	Non Cdk target
P09874	Nucleoli	Non Dynamic	Non Cdk target
P09972	Nucleoli	Non Dynamic	Non Cdk target
P0C221	Nucleoli	Non Dynamic	Non Cdk target
P0C7W0	Nucleoli	Non Dynamic	Non Cdk target
P0CG23	Nucleoli	Non Dynamic	Non Cdk target
P0CG47	Nucleoli	Non Dynamic	Non Cdk target
P0CJ78	Nucleoli	Non Dynamic	Non Cdk target
P0CW24	Nucleoli	Non Dynamic	Non Cdk target
P0DI83	Speckles	Non Dynamic	Non Cdk target
P0DJJ0	Speckles	Non Dynamic	Non Cdk target
P0DMP2	Speckles	Non Dynamic	Non Cdk target
P0DMU7	Nucleoli	Non Dynamic	Non Cdk target
P0DMU8	Nucleoli	Non Dynamic	Non Cdk target
P0DMU9	Nucleoli	Non Dynamic	Non Cdk target
P0DMV0	Nucleoli	Non Dynamic	Non Cdk target
P0DMV1	Nucleoli	Non Dynamic	Non Cdk target
P0DMV2	Nucleoli	Non Dynamic	Non Cdk target
P0DMV8	Nucleoli	Non Dynamic	Non Cdk target
P0DN79	Nucleoli	Non Dynamic	Non Cdk target
P0DOY2	P-bodies	Non Dynamic	Non Cdk target
P0DP23	Nucleoli	Non Dynamic	Non Cdk target
P10070	Nucleoli	Non Dynamic	Non Cdk target
P10398	Nucleoli	Dynamic	Non Cdk target
P10599	Stress granules	Non Dynamic	Non Cdk target
P10809	Stress granules	Non Dynamic	Non Cdk target
P11216	Speckles	Non Dynamic	Non Cdk target
P11309	Nucleoli	Non Dynamic	Non Cdk target
P11387	Nucleoli	Non Dynamic	Cdk target
P11388	Nucleoli,P-bodies	Dynamic	Cdk target
P11441	Stress granules	Non Dynamic	Non Cdk target
P11474	Nucleoli	Non Dynamic	Non Cdk target
P11586	Stress granules	Non Dynamic	Non Cdk target
P11802	Nucleoli	Non Dynamic	Non Cdk target
P11940	Stress granules	Non Dynamic	Non Cdk target
P12004	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P12034	Nucleoli	Non Dynamic	Non Cdk target
P12236	P-bodies	Non Dynamic	Non Cdk target
P12268	PML bodies	Non Dynamic	Cdk target
P12270	Nucleoli,NPC	Dynamic	Cdk target
P12273	P-bodies	Non Dynamic	Non Cdk target
P12956	Nucleoli,P-bodies,PML bodies	Non Dynamic	Cdk target
P13010	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
P13489	Stress granules	Non Dynamic	Non Cdk target
P13498	Speckles	Non Dynamic	Non Cdk target
P13639	Nucleoli	Dynamic	Cdk target
P13693	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P13928	Speckles	Non Dynamic	Non Cdk target
P13984	Nucleoli	Non Dynamic	Non Cdk target
P14060	Nucleoli	Non Dynamic	Non Cdk target
P14373	Nucleoli	Non Dynamic	Non Cdk target
P14635	Nucleoli	Non Dynamic	Cdk target
P14859	53BP1 bodies	Non Dynamic	Cdk target
P14866	Nucleoli	Non Dynamic	Non Cdk target
P15259	Nucleoli	Non Dynamic	Non Cdk target
P15311	PML bodies	Non Dynamic	Non Cdk target
P15336	PML bodies	Non Dynamic	Cdk target
P15408	PML bodies	Non Dynamic	Non Cdk target
P15884	Superenhancers-Mediator	Non Dynamic	Non Cdk target
P15924	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P15927	53BP1 bodies,PML bodies	Non Dynamic	Cdk target
P15976	Speckles	Non Dynamic	Non Cdk target
P16066	Nucleoli	Non Dynamic	Non Cdk target
P16403	Nucleoli	Non Dynamic	Non Cdk target
P16989	Stress granules	Non Dynamic	Non Cdk target
P17010	Nucleoli	Non Dynamic	Non Cdk target
P17020	Nucleoli	Non Dynamic	Non Cdk target
P17028	Speckles,Superenhancers-Mediator	Non Dynamic	Non Cdk target
P17096	Nucleoli,Stress granules	Non Dynamic	Cdk target
P17252	Stress granules	Non Dynamic	Non Cdk target
P17480	Nucleoli	Non Dynamic	Non Cdk target
P17516	Nucleoli	Non Dynamic	Non Cdk target
P17844	Nucleoli	Non Dynamic	Non Cdk target
P18074	Nucleoli	Non Dynamic	Non Cdk target
P18075	Nucleoli	Non Dynamic	Non Cdk target
P18124	Nucleoli	Non Dynamic	Non Cdk target
P18754	Nucleoli,Stress granules	Non Dynamic	Cdk target
P18847	Nucleoli	Non Dynamic	Non Cdk target
P18887	Nucleoli	Dynamic	Cdk target
P19105	Nucleoli	Non Dynamic	Non Cdk target
P19237	Nucleoli	Non Dynamic	Non Cdk target
